"","Canopy Class","Canopy Height","Max Height","Bare","Wrack/Thatch","Treatment","Material","Soil Depth","Date","TransectCode","QuadratID","Scientific Name","Common Name","Code","Status","Grass/Forb","Annual/Perennial","Presence","HeightClass"
"5","C","4",NA,"C","R","Straw","Organic","2",2017-06-21,"AS10","T1","Amsinckia intermedia","fiddleneck","AMIN","Native","Forb","A","R","1"
"11","C","4",NA,"C","R","Straw","Organic","2",2017-06-21,"AS10","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","4"
"47","C","4",NA,"C","R","Straw","Organic","2",2017-06-21,"AS10","T1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","U","1"
"116","M","3",NA,"C","R","Straw","Organic","2",2017-06-21,"AS10","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","3"
"152","M","3",NA,"C","R","Straw","Organic","2",2017-06-21,"AS10","T2","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"172","M","3",NA,"C","R","Straw","Organic","2",2017-06-21,"AS10","T2","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"221","M","1",NA,"C","R","Straw","Organic","2",2017-06-21,"AS10","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","1"
"326","M","4",NA,"C","R","Rake","Compost","1",2017-06-21,"AS11","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","U","1"
"362","M","4",NA,"C","R","Rake","Compost","1",2017-06-21,"AS11","T1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"365","M","4",NA,"C","R","Rake","Compost","1",2017-06-21,"AS11","T1","Frankenia salina","alkali heath","FRSA","Native","Forb","P","R","1"
"370","M","4",NA,"C","R","Rake","Compost","1",2017-06-21,"AS11","T1","Grindelia stricta","salt marsh gumplant","GRST","Native","Forb","P","R","1"
"394","M","4",NA,"C","R","Rake","Compost","1",2017-06-21,"AS11","T1","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","U","1"
"536","L","1",NA,"C","R","Rake","Compost","1",2017-06-21,"AS11","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","1"
"570","L","1",NA,"C","R","Rake","Compost","1",2017-06-21,"AS11","U","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"572","L","1",NA,"C","R","Rake","Compost","1",2017-06-21,"AS11","U","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"584","L","1",NA,"C","R","Rake","Compost","1",2017-06-21,"AS11","U","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"592","L","1",NA,"C","R","Rake","Compost","1",2017-06-21,"AS11","U","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"604","L","1",NA,"C","R","Rake","Compost","1",2017-06-21,"AS11","U","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","U","1"
"641","M","3",NA,"C","R","Straw","Compost","2",2017-06-21,"AS12","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","2"
"677","M","3",NA,"C","R","Straw","Compost","2",2017-06-21,"AS12","T1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"684","M","3",NA,"C","R","Straw","Compost","2",2017-06-21,"AS12","T1","Grasses",NA,"GRASS",NA,"Grass","A/P","R","3"
"689","M","3",NA,"C","R","Straw","Compost","2",2017-06-21,"AS12","T1","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"697","M","3",NA,"C","R","Straw","Compost","2",2017-06-21,"AS12","T1","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"709","M","3",NA,"C","R","Straw","Compost","2",2017-06-21,"AS12","T1","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","U","1"
"746","M","2",NA,"C","R","Straw","Compost","2",2017-06-21,"AS12","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","U","1"
"780","M","2",NA,"C","R","Straw","Compost","2",2017-06-21,"AS12","T2","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","C","1"
"782","M","2",NA,"C","R","Straw","Compost","2",2017-06-21,"AS12","T2","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"794","M","2",NA,"C","R","Straw","Compost","2",2017-06-21,"AS12","T2","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"851","M","2",NA,"C","R","Straw","Compost","2",2017-06-21,"AS12","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","U","2"
"885","M","2",NA,"C","R","Straw","Compost","2",2017-06-21,"AS12","U","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"887","M","2",NA,"C","R","Straw","Compost","2",2017-06-21,"AS12","U","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"894","M","2",NA,"C","R","Straw","Compost","2",2017-06-21,"AS12","U","Grasses",NA,"GRASS",NA,"Grass","A/P","R","2"
